date,category,amount,notes
2026-01-03,Groceries,$1450.00,Weekly grocery run
2026-01-05,Rent,$12000.00,January rent
2026-01-08,Utilities,$850.50,Electricity bill
2026-01-10,Transport,$300.00,Auto fare
2026-01-15,Groceries,$980.00,Vegetables and fruits
2026-01-04,Rent,$11000.00,January rent
2026-01-06,Groceries,$1200.00,Monthly groceries
2026-01-12,Entertainment,$600.00,Movie night
2026-01-14,Utilities,$720.00,Water and electricity
2026-01-20,Healthcare,$450.00,Pharmacy
2026-01-02,Groceries,$1100.00,Grocery shopping
2026-01-07,Transport,$1800.00,Fuel for bike
2026-01-11,Entertainment,$1200.00,Concert tickets
2026-02-01,Rent,$9500.00,February rent
2026-02-05,Utilities,$690.00,Internet bill
